개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세업무구분명,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3000000,300000004820180001,2018-04-27,,폐업,2022-09-30,,,,0,,03100,퍼플캣,I,000,2026-05-05 22:33:03,"서울특별시 종로구 율곡로 ***, *층 (이화동)",,폐업,0002,03,,200255.003244395    ,452667.264893433    ,서울특별시 종로구 이화동 ***-* *층 ,2022-12-29 17:01:40
3000000,300000004820180008,2018-09-12,,폐업,2023-03-20,,,,0,,03007,월드펫동물병원,I,000,2026-05-05 22:33:03,서울특별시 종로구 진흥로 ***-* (신영동),,폐업,0002,03,023797575,196470.449471829    ,455970.888515918    ,서울특별시 종로구 신영동 *-** ,2023-03-20 17:38:15
3000000,300000004820180021,2018-12-27,,폐업,2018-12-27,,,,0,,03092,몽샵,I,000,2026-05-05 22:33:03,"서울특별시 종로구 낙산길 ***, *단지 상가동 *층 *호 (창신동, 창신쌍용아파트 *지구)",,폐업,0002,03,027430050,200971.425717609    ,453113.875178674    ,서울특별시 종로구 창신동 *** 창신쌍용아파트 *지구 ,2022-04-28 18:11:02
3000000,300000004820220001,2018-10-04,,폐업,2022-02-16,,,,,,03169,누리봄동물병원,I,000,2026-05-05 22:33:03,서울특별시 종로구 사직로**길 *(내자동),,폐업,0002,03,,197374.347630839    ,452611.452584222    ,서울특별시 종로구 내자동 ***-* ,2022-04-28 18:11:02
3000000,300000004820180017,2018-10-18,,취소/말소/만료/정지/중지,2023-06-14,,,,0,,03126,미션코리아,I,000,2026-05-05 22:33:03,"서울특별시 종로구 대학로 **, *층 (효제동)",,말소,0004,04,,200126.766304313    ,452265.173517838    ,서울특별시 종로구 효제동 ***-* ,2023-06-14 09:45:20
3000000,300000004820240001,2024-09-09,,영업/정상,,,,,0,,03004,댕구르르,I,000,2026-05-05 22:33:03,"서울특별시 종로구 평창**길 **, *층 (평창동)",,정상,0000,01,,197544.299956553    ,456737.393914215    ,서울특별시 종로구 평창동 ***-* ,2024-09-09 13:18:09
3000000,300000004820260001,2026-05-08,,영업/정상,,,,,0,,03082,대학로 애견카페,I,000,2026-05-09 23:29:05,서울특별시 종로구 대학로 ** (연건동),,정상,0000,01,,200099.032850302    ,452925.449270507    ,서울특별시 종로구 연건동 ** ,2026-05-08 09:21:44
3000000,300000004820180005,2018-08-30,,영업/정상,,,,,0,,03021,북악동물병원,I,000,2026-05-05 22:33:03,서울특별시 종로구 자하문로 *** (홍지동),,정상,0000,01,023914575,196420.140799836    ,455175.041431888    ,서울특별시 종로구 홍지동 ***-* ,2022-04-28 18:11:01
3000000,300000004820180010,2018-09-18,,영업/정상,,,,,0,,03165,경희궁바른동물병원,I,000,2026-05-05 22:33:03,"서울특별시 종로구 송월길 **, ****호 (홍파동, 경희궁자이 *단지)",,정상,0000,01,027359088,196711.256846666    ,452060.860508565    ,서울특별시 종로구 홍파동 **-** 경희궁자이 *단지 ,2022-04-28 18:11:01
3000000,300000004820200002,2020-09-04,,영업/정상,,,,,0,,03086,강아지대학로,I,000,2026-05-05 22:33:03,"서울특별시 종로구 대학로**길 **, 한양빌딩 지하동 *층 (동숭동)",,정상,0000,01,,200257.638078403    ,453091.418604655    ,서울특별시 종로구 동숭동 *-*** 한양빌딩 ,2024-05-29 11:19:50
3000000,300000004820230001,2023-02-28,,영업/정상,,,,,0,,03022,펫힐링센터,I,000,2026-05-05 22:33:03,"서울특별시 종로구 자하문로 ***, *층 (부암동)",,정상,0000,01,,196704.157334101    ,454565.599291282    ,서울특별시 종로구 부암동 ***-** ,2023-02-28 12:46:27
3000000,300000004820180004,2018-08-20,,영업/정상,,,,,0,,03169,서촌도그살롱,I,000,2026-05-05 22:33:03,"서울특별시 종로구 사직로*길 *-*, *층 ***호 (필운동)",,정상,0000,01,,197247.96898135     ,452558.984058705    ,서울특별시 종로구 필운동 *** ,2022-04-28 18:11:01
3010000,301000004820180008,2018-10-01,,폐업,2022-09-27,,,,0,,04501,백슬동물병원,I,000,2026-05-10 22:33:16,"서울특별시 중구 만리재로 ***, 한라비발디센트럴 *층상가 (만리동*가)",,폐업,0002,03,,196907.998491537    ,450316.399509271    ,서울특별시 중구 만리동*가 **-* ,2022-09-27 15:31:43
3010000,301000004820260001,2026-04-09,,영업/정상,,,,,0,,04585,강아지 미용실,I,000,2026-05-10 22:33:18,"서울특별시 중구 다산로**나길 *, *층 (신당동)",,정상,0000,01,,201558.762276006    ,451316.002333407    ,서울특별시 중구 신당동 ***-** ,2026-04-09 08:37:34
3010000,301000004820180009,2018-10-01,,영업/정상,,,,,0,,04595,남산동물병원,I,000,2026-05-10 22:33:16,"서울특별시 중구 다산로 **, *상가동 ***호 (신당동, 남산타운)",,정상,0000,01,22568275,200750.455125653    ,449638.824308081    ,서울특별시 중구 신당동 *** 남산타운 ,2022-04-28 18:11:03
3010000,301000004820180011,2018-10-11,,영업/정상,,,,,0,,04598,미래지동물의료센터,I,000,2026-05-10 22:33:16,"서울특별시 중구 다산로 ***, *층 (신당동)",,정상,0000,01,22337574,200783.119589726    ,450153.784342829    ,서울특별시 중구 신당동 ***-** ,2024-11-08 17:54:42
3010000,301000004820190002,2019-03-07,,영업/정상,,,,,0,,04584,애뚜애뚜,I,000,2026-05-10 22:33:16,"서울특별시 중구 다산로**길 **, *-*층 (신당동)",,정상,0000,01,0222337943,201556.450686404    ,450973.268089566    ,서울특별시 중구 신당동 **-** ,2022-04-28 18:11:03
3010000,301000004820190006,2019-05-03,,폐업,2026-03-26,,,,0,,04585,강아지 마법사 골드맘,I,000,2026-05-10 22:33:16,"서울특별시 중구 다산로**나길 **, 동심빌딩 ***호 (신당동)",,폐업,0002,03,,201470.91154056     ,451066.603311893    ,서울특별시 중구 신당동 ***-** ,2026-03-26 17:05:51
3010000,301000004820180006,2018-09-12,,폐업,2025-12-18,,,,0,,04589,COZY,I,000,2026-05-10 22:33:16,"서울특별시 중구 청구로 **, *층 (신당동)",,폐업,0002,03,0222536686,201252.508004421    ,450817.329698139    ,서울특별시 중구 신당동 ***-** ,2025-12-18 18:07:55
3010000,301000004820210001,2021-10-13,,영업/정상,,,,,0,,04608,디어코코,I,000,2026-05-10 22:33:17,"서울특별시 중구 동호로**길 **, 디오빌딩 *층, *층 (신당동)",,정상,0000,01,,201006.881961001    ,450751.769791936    ,서울특별시 중구 신당동 ***-* 디오빌딩 ,2022-04-28 18:11:06
3010000,301000004820230001,2023-12-04,,영업/정상,,,,,0,,04595,힐스타운 동물병원,I,000,2026-05-10 22:33:17,"서울특별시 중구 다산로 **, 스포츠상가동 ***-*호 (신당동, 남산타운)",,정상,0000,01,0222377582,200750.455125653    ,449638.824308081    ,서울특별시 중구 신당동 *** 남산타운 ,2024-02-07 09:55:38
3010000,301000004820240001,2024-06-12,,영업/정상,,,,,0,,04608,디어코코 별관,I,000,2026-05-10 22:33:17,"서울특별시 중구 청구로**길 **, 대동빌딩 *층 (신당동)",,정상,0000,01,,200968.804165946    ,450744.186150843    ,서울특별시 중구 신당동 *** 대동빌딩 ,2025-11-27 17:34:51
3010000,301000004820240002,2024-08-06,,영업/정상,,,,,0,,04573,강아지야 놀자,I,L00,2026-05-10 22:33:17,"서울특별시 중구 난계로**길 **, 의성빌딩 *층 (황학동)",,정상,0000,01,0222317570,201690.572708178    ,451957.592327807    ,서울특별시 중구 황학동 **** 의성빌딩 ,2025-12-01 10:45:38
3010000,301000004820250001,2025-04-28,,영업/정상,,,,,0,,04586,숲냥숲냥,I,000,2026-05-10 22:33:18,"서울특별시 중구 청구로*길 **, 중앙빌딩 *층 (신당동)",,정상,0000,01,,201302.851934591    ,451115.096946194    ,서울특별시 중구 신당동 ***-** 중앙빌딩 ,2025-04-28 15:47:24
3010000,301000004820190007,2019-05-03,,영업/정상,,,,,0,,04596,유한회사 한국동물보육원연합회,I,L00,2026-05-10 22:33:17,"서울특별시 중구 동호로*길 **, ***호 (신당동)",,정상,0000,01,0222332513,200893.0430559      ,449947.401377686    ,서울특별시 중구 신당동 ***-*** ,2025-06-17 14:28:09
3020000,302000004820180017,2018-09-06,,폐업,2024-12-10,,,,0,,04427,24시 시유동물메디컬센터,I,000,2026-05-09 22:33:20,서울특별시 용산구 이촌로**길 ** (이촌동),,폐업,0002,03,027930075,197270.042278677    ,446419.923247168    ,서울특별시 용산구 이촌동 ***-** ,2024-12-12 10:00:16
